datetime,atm_strike,call_iv,put_iv,call_oi,put_oi,call_volume,put_volume
2024-01-01 09:15:00,21700.0,0.1617022004702574,0.17070254837031779,227864,193801,2205,1573
2024-01-01 09:20:00,21700.0,0.19203244934421582,0.19538328074303243,113462,385714,1412,3992
2024-01-01 09:25:00,21700.0,0.12001143748173448,0.1377961899045148,444289,438465,2941,2152
2024-01-01 09:30:00,21700.0,0.15023325726318398,0.1635765415241931,385292,244903,991,3465
2024-01-01 09:35:00,21700.0,0.1346755890817113,0.14413344871694206,127806,206026,4101,547
2024-01-01 09:40:00,21700.0,0.12923385947687976,0.13829224198353107,311317,127965,4834,1100
2024-01-01 09:45:00,21700.0,0.1386260211377671,0.1528346786515998,467849,459005,1662,3766
2024-01-01 09:50:00,21750.0,0.15455607270430477,0.16216745161323873,385586,344869,1609,2545
2024-01-01 09:55:00,21750.0,0.15967674742306698,0.14993601032839593,471488,222478,3526,1091
2024-01-01 10:00:00,21700.0,0.1738816734003357,0.17401710754834135,178649,394339,2557,3961
2024-01-01 10:05:00,21700.0,0.1619194514403295,0.17157254161136734,475516,203389,3897,3579
2024-01-01 10:10:00,21700.0,0.18852195003967595,0.18728967343584105,253815,346120,3028,2162
2024-01-01 10:15:00,21700.0,0.14044522497315173,0.1402640509049879,347767,275287,1918,4626
2024-01-01 10:20:00,21700.0,0.20781174363909455,0.20322008407309639,462793,346321,3357,1953
2024-01-01 10:25:00,21700.0,0.12273875931979261,0.1263397749686614,142586,209430,1922,1353
2024-01-01 10:30:00,21700.0,0.18704675101784024,0.190051475462419,157368,338814,994,3944
2024-01-01 10:35:00,21700.0,0.1617304802367127,0.16566681580541986,137954,250224,2906,3851
2024-01-01 10:40:00,21750.0,0.17586898284457517,0.19278805245573352,421706,196296,1385,3322
2024-01-01 10:45:00,21750.0,0.13403869385952338,0.11955196379213295,123864,170543,2011,3671
2024-01-01 10:50:00,21750.0,0.13981014890848786,0.12984165184399873,425944,174474,2676,3468
2024-01-01 10:55:00,21750.0,0.20007445686755365,0.19516438565561142,165942,163350,2201,650
2024-01-01 11:00:00,21750.0,0.21682615757193974,0.2101058223704845,121743,455906,4838,4045
2024-01-01 11:05:00,21750.0,0.15134241781592428,0.13734841663663444,125801,319453,2514,4370
2024-01-01 11:10:00,21750.0,0.1892322615669314,0.2071980890746687,278559,287235,508,2456
2024-01-01 11:15:00,21750.0,0.20763891522960382,0.19998943919615347,326204,159143,2187,4940
2024-01-01 11:20:00,21750.0,0.20946066635038474,0.20866664604872778,190310,434767,4368,1419
2024-01-01 11:25:00,21750.0,0.1285044211369778,0.11969976612502992,269374,284521,3139,1270
2024-01-01 11:30:00,21750.0,0.12390547832328823,0.12587923321944552,432686,409585,3054,873
2024-01-01 11:35:00,21750.0,0.13698304195645689,0.15385017395888126,340886,176841,4017,3195
2024-01-01 11:40:00,21750.0,0.20781425034294132,0.21943398083343119,179376,166899,2062,2774
2024-01-01 11:45:00,21750.0,0.129834683383305,0.13538780575694762,462056,255578,2169,3280
2024-01-01 11:50:00,21750.0,0.1621107625005052,0.15003917256942073,196805,274576,3331,2208
2024-01-01 11:55:00,21750.0,0.2157889530150502,0.22652877271005217,335710,461683,4495,1956
2024-01-01 12:00:00,21700.0,0.1733165284973017,0.17400696353987585,304077,445076,3451,4726
2024-01-01 12:05:00,21750.0,0.18918771139504734,0.1822609622818291,241080,322070,3155,918
2024-01-01 12:10:00,21750.0,0.1515515631006063,0.16179581107668767,426697,205928,779,2771
2024-01-01 12:15:00,21750.0,0.18865009276815836,0.17366397820059337,412873,274488,1400,4951
2024-01-01 12:20:00,21700.0,0.2034625671897373,0.19263174412346912,308400,389189,3481,4515
2024-01-01 12:25:00,21700.0,0.12182882773441918,0.1166736100722611,275507,228575,4687,3449
2024-01-01 12:30:00,21750.0,0.19501443149449676,0.20732575610598564,224165,181553,3800,3472
2024-01-01 12:35:00,21750.0,0.21888610889064947,0.21630075805569995,221129,474993,3490,2665
2024-01-01 12:40:00,21750.0,0.19481656543798392,0.21185670599566575,342593,242676,1843,2750
2024-01-01 12:45:00,21750.0,0.14804439920644052,0.1652989743637947,106795,414367,2228,850
2024-01-01 12:50:00,21750.0,0.19892793284514887,0.21322759729047633,426495,477952,1546,4281
